route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed
860,3893A5283,572691A3893B5283,,Hoboken,0,,3,0
1024,3907A5310,159425A3907B5310,,33rd via Hoboken,1,,2,0
1024,3907A5310,159522A3907B5310,,Journal Square via Hoboken,0,,4,0
859,3528A4969,158454A3528B4969,,Hoboken,0,,7,0
1024,3907A5292,159449A3907B5292,,33rd via Hoboken,1,,2,0
1024,3906A5292,159679A3906B5292,,Journal Square via Hoboken,0,,4,0
862,3528A4969,159037A3528B4969,,Newark,0,,9,0
1024,3943A5292,160040A3943B5292,,Journal Square via Hoboken,0,,4,0
860,3894A5283,572524A3894B5283,,World Trade Center,1,,10,0
860,3894A5283,572757A3894B5283,,Hoboken,0,,3,0
1024,3907A5292,159470A3907B5292,,Journal Square via Hoboken,0,,4,0
1024,3907A5293,159373A3907B5293,,33rd via Hoboken,1,,2,0
4768,3893A5283,572985A3893B5283,,Journal Square,0,,1,0
862,3528A4969,159144A3528B4969,,World Trade Center,1,,8,0
1024,3907A5292,159508A3907B5292,,Journal Square via Hoboken,0,,4,0
4768,3893A5283,572858A3893B5283,,Hoboken,1,,12,0
860,3894A5283,572769A3894B5283,,Hoboken,0,,3,0
861,3528A4969,160122A3528B4969,,33rd Street,1,,5,0
860,3894A5283,572719A3894B5283,,Hoboken,0,,3,0
1024,3907A5292,159443A3907B5292,,33rd via Hoboken,1,,2,0
862,3529A4969,602486A3529B4969,,World Trade Center,1,,8,0
860,3528A4969,158566A3528B4969,,World Trade Center,1,,10,0
861,3528A4969,160182A3528B4969,,33rd Street,1,,5,0
859,3528A4969,158313A3528B4969,,33rd Street,1,,11,0
1024,3906A5293,159667A3906B5293,,33rd via Hoboken,1,,2,0
1024,3906A5292,159731A3906B5292,,Journal Square via Hoboken,0,,4,0
1024,3943A5293,160026A3943B5293,,33rd via Hoboken,1,,2,0
859,3528A4969,158259A3528B4969,,33rd Street,1,,11,0
862,3528A4969,159203A3528B4969,,World Trade Center,1,,8,0
861,3528A4969,160278A3528B4969,,Journal Square,0,,6,0
859,3528A4969,158281A3528B4969,,33rd Street,1,,11,0
862,3529A4969,602388A3529B4969,,Newark,0,,9,0
1024,3907A5293,159444A3907B5293,,33rd via Hoboken,1,,2,0
1024,3906A5292,159737A3906B5292,,Journal Square via Hoboken,0,,4,0
1024,3941A5283,582175A3941B5283,,33rd via Hoboken,1,,2,0
860,3893A5283,572477A3893B5283,,World Trade Center,1,,10,0
1024,3906A5292,159636A3906B5292,,33rd via Hoboken,1,,2,0
